"Now Shopping by","تسوق الآن من"
Subscribe,اشتراك
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","للبدء في إستقبال الرسالة الإخبارية، يجب عليك أولاً تأكيد اشتراك; عن طريق الضغط على الرابط التالي:"
"You have been successfully subscribed to our newsletter.","لقد اشتركت في نشرتنا البريدية."
"Newsletter unsubscription success","إلغاء الاشتراك في النشرة البريدية"
"You have been unsubscribed from the newsletter.","تم إلغاء اشتراكك من النشرة البريدية."
"Subscription Options","خيارات النشرات البريدية"
"Need to Confirm","يحتاج الى تاكيد"
"Confirmation Email Sender","مرسل البريد الإلكتروني التأكيدي"
"Confirmation Email Template","قالب البريد الإلكتروني التأكيدي"
"Success Email Sender","نجاح ارسال الرساله الالكترونية"
"Success Email Template","نجاح قالب البريد الالكتروني"
"Unsubscription Email Sender","الغاء الاشتراك البريد الالكتروني للمرسل"
"Unsubscription Email Template","الغاء الاشتراك البريد الالكتروني قالب"
Subscriber,مشترك
"Queue Subject","موضوع الصف"
"Error Code","كود خطأ"
"Error Text","نص خاطئ"
"Queue Start","بداية الصف"
Processed,تجهيز
Recipients,المستلمون
Unsubscribe,"قم بإلغاء الاشتراك"
"Customer First Name","الاسم الأول للعميل"
"Customer Last Name","اسم عائلة العميل"
"Newsletter Subscriptions","الاشتراك بالقائمة البريدية"
"Add configurable attributes to the current Attribute Set (""%1"")","إضافة سمات قابلة للتخصيص لمجموعة السمات الحالية (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","إضافة سمات قابلة للتخصيص لمجموعة سمات جديدة مبنية على الحالية"
"New attribute set name","تعيين اسم الصفة الجديدة"
"Add configurable attributes to the existing Attribute Set","إضافة سمات قابلة للتخصيص لمجموعة السمات الحالية"
"Choose existing Attribute Set","اختر ""تعيين السمة"" الحالية"
Configurations,الضبط
"Attribute Values","قيم السمات"
"Bulk Images &amp; Price","مجموعة الصور و الأسعار"
"Select Attributes","اختر السمات"
"This attribute is used in configurable products.","يتم استخدام هذه السمة في المنتجات القابلة للتخصيص."
"Product has been already attached","تم إرفاق المنتج مسبقاً"
"Product with specified sku: %1 is not a configurable product","المنتج مع الـ sku المحدد: %1 غير قابل للتخصيص"
"Requested option doesn't exist: %1","طلب الخيار غير موجود: %1"
"Cannot delete variations from product: %1","لا يمكن حذف التنويعات من المنتج: %1"
"Cannot delete option with id: %1","لا يمكن حذف الخيار مع معرف %1"
"Option with id ""%1"" not found","لم يتم العثور على الخيار بالمعرف ""%1"""
"Something went wrong while saving option.","حدث خطأ أثناء حفظ الخيار."
"Only implemented for configurable product: %1","يتسخدم فقط للمنتجات القابلة للتخصيص: %1"
"Option attribute ID is not specified.","لم يتم تحديد تفاصيل معرف الخيار."
"Option label is not specified.","لم يتم تحديد بطاقة الخيار."
"Option values are not specified.","لم يتم تحديد قيم الخيار."
"Value index is not specified for an option.","لم يتم تحديد قيمة الفهرس للخيار."
"Product with id ""%1"" does not contain required attribute ""%2"".","معرف المنتج ""%1"" لا يحتوي على التفاصيل المطلوبة ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","المنتجات ""%1"" و ""%2"" لها نفس مجموعة قيم التفاصيل."
"You can't add the item to shopping cart.","لا يمكنك إضافة ها البند إلى عربة التسوق."
"Some product variations fields are not valid.","بعض حقول متغيرات المنتج غير صحيحة."
"Configuration must have specified attributes","يجب أن يحتوي التكوين على خصائص محددة"
"Type %1 is not an instance of %2","النوع %1 ليس من مثل %2"
"Choose Affected Attribute Set","اختر مجموعة الخصائص المتأثرة"
"Add configurable attributes to the current Attribute Set","إضافة سمات قابلة للتخصيص لمجموعة السمات الحالية"
"New Attribute Set Name","اسم مجموعة السمة الجديدة"
"Select Associated Product","إختر المنتج المرتبط بها"
"Choose a new product to delete and replace the current product configuration.","اختر منتج جديد لحذفه واستبدال التكوين الحالي للمنتج."
"For better results, add attributes and attribute values to your products.","للحصول على أفضل النتائج، أضف سمات وقيم سمة للمنتجات الخاصة بك."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","المنتجات القابلة للتخصيص تسمح للعملاء بتخصيص المنتج (مثلاً: لون القميص). تحتاج لإنشاء منتج بسيط لكل تخصيص (مثلاً: منتج لكل لون من ألوان القميص)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","لا يمكن إنشاء تكوينات لمنتج قياسي مع الملفات القابلة للتحميل. لإنشاء تكوينات، قم أولاً بإزالة كافة الملفات القابلة للتحميل."
"Add Products Manually","إضافة المنتجات يدوياً"
"Create Configurations","انشاء ضبط"
"Current Variations","الاختلافات الحالية"
"Custom options with price type ""percent"" is not available for configurable product.","الخيارات التخصيص مع نوع السعر ""نسبة"" غير متوفر للمنتجات القابلة للتخصيص."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","تحتوي هذه المجموعة على السمات المستخدمة في المنتجات القابلة للتخصيص. الرجاء نقل هذه السمات إلى مجموعة أخرى، وحاول مرة أخرى."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","هذه السمة مستخدمة بالفعل في منتجات قابلة للتخصيص. لا يمكن إزالته من مجموعة السمات."
"Step 3: Bulk Images, Price and Quantity","الخطوة 3: الصور والسعر والكمية"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","استناداً إلى التحديدات الخاصة بك سيتم إنشاء منتجات جديدة %1. استخدم هذه الخطوة لتخصيص الصور والأسعار للمنتجات الجديدة الخاصة بك."
"Apply single set of images to all SKUs","تطبيق مجموعة واحدة من الصور على كافة وحدات SKU"
"Apply unique images by attribute to each SKU","تطبيق أسعار فريدة من نوعها بالسمة لكل SKU"
"Skip image uploading at this time","تخطي تحميل الصورة في هذا الوقت"
"Remove image","إزالة الصورة"
"Select attribute","حدد السمة"
"Apply single price to all SKUs","تطبيق سعر واحد على كافة وحدات Sku"
"Apply unique prices by attribute to each SKU","تطبيق أسعار فريدة من نوعها بالسمة لكل SKU"
"Skip price at this time","تخطي السعر في هذا الوقت"
"Apply single quantity to each SKUs","تطبيق كمية محددة لكل منتج"
"Apply unique quantity by attribute to each SKU","تطبيق كمية فريدة من نوعها بالسمة لكل SKU"
"Skip quantity at this time","تخطي الكمية في الوقت الحالي"
"Step 1: Select Attributes","الخطوة 1: اختر السمات"
"Selected Attributes:","السمات المختارة:"
"Step 4: Summary","الخطوة 4: موجز"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","المنتجات القابلة للتخصيص تسمح للعملاء بتخصيص المنتج (مثلاً: لون القميص).
            تحتاج لإنشاء منتج بسيط لكل تخصيص (مثلاً: منتج لكل لون من ألوان القميص)."
"Upload Image","تحميل صورة"
"Upload image","تحميل صورة"
"No Image","لا توجد صورة"
"Choose a different Product","اختر منتج مختلف"
"Create Product Configurations","تخصيص جديد لمنتج"
"New Product Review","مراجعة المنتج الجديد"
"Here are the products you're about to create.","فيما يلي المنتجات التي كنت على وشك إنشاؤها."
"You created these products for this configuration.","قمت بإنشاء هذه المنتجات لهذا التكوين."
"Disassociated Products","منتجات غير مرتبطة"
"These products are not associated.","هذه المنتجات غير مرتبطة."
"Disable Product","تعطيل المنتج"
"Enable Product","تمكين المنتج"
"An attribute has been removed. This attribute will no longer appear in your configurations.","لقد تمت إزالة الخصائص. لن تعد تظهر هذه الخصائص في التكوينات الخاصة بك."
"Select options for all attributes or remove unused attributes.","حدد الخيارات لكافة السمات أو ازل السمات الغير المستخدمة."
"Please select attribute for {section} section.","الرجاء تحديد سمة للقسم {section}."
"Please fill in the values for {section} section.","الرجاء تعبئة القيم الخاصة بقسم {section}."
"Please fill-in correct values.","الرجاء تعبئة القيم الصحيحة."
"Please select image(s) for your attribute.","الرجاء تحديد صور أو صورة للسمة الخاصة بك."
"Please choose image(s).","الرجاء اختيار صور أو صورة."
"Please select attribute(s).","الرجاء إختيار خصائص."
"Generate Products","إنشاء منتجات"
save,حفظ
"Configurable Product Image","صورة المنتج القابل للضبط"
"Could not update option with id ""%1""","تعذر تحديث الخيار مع معرف رقم ""%1"""
"Product already has this option","المنتج يحتوي بالفعل على هذا الخيار"
"The configurable product does not have any variation attribute.","المنتج القابل للتخصيص ليس لديه أي سمات مختلفة."
"Product with id ""%1"" does not exist.","المنتج مع معرف رقم ""%1"" غير موجود."
"Products ""%1"" and %2 have the same set of attribute values.","منتجات ""%1"" و %2 لديها نفس مجموعة السمات."
"Configurable product ""%1"" do not have sub-products","المنتج القابل للتخصيص ""%1"" ليس لديه منتجات فرعية"
"Step 3: Bulk Images, Price, and Quantity","الخطوة 3: الصور والسعر والكمية"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","استناداً إلى التحديدات <span class=""new-products-count"" data-bind=""text:countVariations""></span> سيتم إنشاء منتجات جديدة. استخدم هذه الخطوة لتخصيص الصور والأسعار للمنتجات الجديدة الخاصة بك."
"Edit role","تعديل الدور"
"Please, select attribute for the section ","الرجاء تحديد سمة القسم "
"Please fill in the values for the section ","الرجاء تعبئة القيم الخاصة بالقسم "
"Please, fill correct values","يرجى ملء القيم الصحيحة"
"Please, select image(s) for your attribute","الرجاء تحديد صور أو صورة للسمة الخاصة بك"
"Please choose image(s)","الرجاء اختيار صور أو صورة"
"Please, select attribute(s)","من فضلك، حدد سمة (سمات)"
"Configurable product ""%1"" does not have sub-products","المنتج القابل للتخصيص ""%1"" ليس لديه منتجات فرعية"
"We can't find the role for the user you wanted.","لا يمكننا الوصول للمستخدم الذي طلبته"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","حدث خطأ أثناء تجميع قائمة من الموارد المسموح بها. يمكنك العثور على مزيد من المعلومات في سجل الاستثناءات."
"System Backup","نظام النسخ الاحتياطي"
"Database and Media Backup","النسخ الاحتياطي لقاعدة البيانات و الوسائط"
"Database Backup","النسخ الاحتياطي لقاعدة البيانات"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","يمكن أن يكون الأرشيف غير مضغوط مع <a href=""%1"">%2</a> على أنظمة وندوز."
"You need more permissions to activate maintenance mode right now.","تحتاج مزيد من الصلاحيات لتنشيط وضع الصيانة الآن."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","لإنشاء النسخ الاحتياطي، الرجاء قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك."
"Something went wrong while putting your store into maintenance mode.","حدث خطأ في وضع المتجر الخاص بك في وضع الصيانة."
"You need more free space to create a backup.","كنت بحاجة إلى مزيد من المساحة الحرة لإنشاء نسخة احتياطية."
"You need more permissions to create a backup.","انت بحاجة إلى مزيد من الأذونات لإنشاء نسخة احتياطية."
"We can't create the backup right now.","لا يمكننا إنشاء النسخ الاحتياطي الآن."
Backups,الاحتياطات
Backup,"نسخة احتياطية"
"We can't delete one or more backups.","لا يمكننا حذف واحد أو أكثر من النسخ الاحتياطية."
failed,فشل
successful,"تم بنجاح"
"You deleted the selected backup(s).","تم حذف النسخة أو النسخ الاحتياطية المحددة."
"Can't load snapshot archive","لا يمكن تحميل لقطة الأرشيف"
"Please correct the password.","الرجاء تصحيح كلمة المرور."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","الرجاء إكمال الاستعادة، قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك."
"We can't find the backup file.","لا يمكننا العثور على ملف النسخ الاحتياطي."
"We can't connect to the FTP right now.","لا يمكننا الاتصال بال FTP الآن."
"Failed to validate FTP.","فشل التحقق من صحة FTP."
"You need more permissions to perform a rollback.","تحتاج إلى مزيد من الأذونات تنفيذ الاستعادة."
"Failed to rollback.","فشلت الاستعادة."
"Database and Media","قاعدة البيانات و الوسائط"
"System (excluding Media)","النظام (باستثناء الوسائط)"
"You created the system backup.","تم إنشاء نظام النسخ الاحتياطي."
"You created the system backup (excluding media).","لقد قمت بإنشاء نظام النسخ الاحتياطي (باستثناء الوسائط)."
"You created the database and media backup.","لقد قمت بإنشاء نسخة احتياطية لقاعدة البيانات والوسائط."
"You created the database backup.","قمت بإنشاء قاعدة البيانات الاحتياطية."
"Please correct the order of creation for a new backup.","الرجاء تصحيح الطلب لإنشاء نسخة احتياطية جديدة."
"The backup file does not exist.","ملف النسخة الاحتياطية غير موجود."
"The backup file path was not specified.","لم يتم تحديد مسار ملف النسخ الاحتياطي."
"The backup file ""%1"" does not exist.","ملف النسخ الاحتياطي ""%1""غير موجود."
"Sorry, but we cannot read from or write to backup file ""%1"".","عذراً، لا يمكننا القراءة أو الكتابة من و إلى ملف النسخ الاحتياطي ""%1""."
"The backup file handler was unspecified.","لم يتم تحديد مسار ملف النسخ الاحتياطي."
"Something went wrong while writing to the backup file ""%1"".","حدث خطأ أثناء الكتابة إلى ملف النسخ الاحتياطي ""%1""."
"You will lose any data created since the backup was made, including admin users, customers and orders.","سوف تفقد أية بيانات تم إنشاؤها منذ عملية النسخ الاحتياطي، بما في ذلك المشرفين والعملاء والطلبات."
"Are you sure you want to continue?","هل انت متأكد انك تريد الاستمرار؟"
"This may take a few moments.","قد يستغرق هذا بضع لحظات."
"Be sure your store is in maintenance mode during backup.","الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء النسخ الاحتياطي."
"Backup Name","اسم النسخة الاحتياطية"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو مسافات فقط في هذا الحقل."
"Maintenance mode","وضع الصيانة"
"Please put your store into maintenance mode during backup.","الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء النسخ الاحتياطي."
"Exclude media folder from backup","استبعاد المجلد وسائط من النسخ الاحتياطي"
"Please enter the password to confirm rollback.","الرجاء إدخال كلمة المرور لتأكيد العودة إلى الحالة السابقة."
"This action cannot be undone.","لا يمكن التراجع عن هذا الإجراء."
"User Password","كلمة المرور"
"Please put your store into maintenance mode during rollback processing.","الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء معالجة الاستعادة."
FTP,"بروتوكول نقل الملفات"
"Use FTP Connection","استخدام اتصال FTP"
"FTP credentials","أوراق اعتماد بروتوكول نقل الملفات"
"FTP Host","مضيف FTP"
"FTP Login","تسجيل دخول FTP"
"FTP Password","كلمة مرور بروتوكول نقل الملفات"
"Magento root directory","الدليل الجذر لماجنتو"
"Create Backup","انشئ نسخة احتياطية"
Rollback,"العودة إلى الحالة السابقة"
"Scheduled Backup Settings","إعدادات النسخ الاحتياطي المجدولة"
"Enable Scheduled Backup","تمكين النسخ الاحتياطي المجدول"
"Backup Type","نوع النسخ الاحتياطي"
"Maintenance Mode","وضع الصيانة"
"Are you sure you want to delete the selected backup(s)?","هل أنت متأكد من أنك تريد حذف النسخة أو النسخ الاحتياطية المحددة؟"
Size(bytes),الحجم(بايت)
"Edit Event","تعديل الحدث"
"Add Event","إضافة حدث"
"Add Catalog Event","إضافة حدث للكتالوج"
"Back to Category","العودة إلى القسم"
"Edit Catalog Event","تعديل الحدث التسويقي"
"Catalog Event Information","معلومات الحدث التسويقي"
"Display Countdown Ticker On","عرض العد التنازلي على الشريط"
"Category Page","صفحة القسم"
"Product Page","صفحة المنتجات"
"Coming Soon",قريباً
"Sale Ends In","ينتهي البيع في"
"You deleted the event.","قمت بحذف الحدث."
"New Event","حدث جديد"
"Something went wrong while saving this event.","حدث خطأ أثناء حفظ هذا الحدث."
"We did not upload your image.","لم نقم بتحميل الصورة الخاصة بك."
"You saved the event.","قمت بحفظ هذا الحدث."
"%1 is required.","%1 مطلوب."
"Please make sure the end date follows the start date.","الرجاء التأكد من أن تاريخ النهاية يلي تاريخ البداية."
"Event for selected category","حدث للفئة المحددة"
"Lister Block","كتلة المنتجات"
"This product is no longer on sale.","لم يعد هذا المنتج للبيع."
"Some of these products can no longer be sold.","بيع بعض هذه المنتجات لم يعد ممكنا."
Days,ايام
Hrs,ساعات
Mins,دقائق
Sec,ثواني
"Preview Sale","معاينة البيع"
"Go To Sale","الذهاب للبيع"
"View Sale","عرض البيع"
"Catalog Events","كتالوج الأحداث"
"Enable Catalog Events Functionality","تمكين وظائف كتالوج الأحداث"
"Enable Catalog Event Widget on Storefront","تمكين المربعات الجانبية لكتالوج الأحداث على واجهة المتجر"
"Number of Events to be Displayed in Event Slider Widget","عدد الأحداث التي سيتم عرضها في مربعات الحدث الجانبية"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","يمكنك تجاوز هذه القيمة الافتراضية في نظام الإدارة الوظيفية باستخدام الحد الأقصى = ""x"" متغير. تترك فارغة عندما لاتوجد قيود."
"Events to Scroll per Click in Event Slider Widget","عدد الأحداث التي تمر عند كل نقرة في شريط المربعات الجانبية"
"You can override this default value in CMS using the limit=""x"" variable.","يمكنك تجاوز هذه القيمة الافتراضية في نظام الإدارة الوظيفية باستخدام الحد = ""x"" المتغير."
"Catalog Events Carousel","كتالوج الأحداث الدائري"
"List all open Catalog Events as a Paginated Carousel","اسرد كافة أحداث الكتالوج المفتوحة كصفحات دائرية"
"Frame Size","حجم الإطار"
"Number of Items to display at once","عدد العناصر التي يتم عرضها في وقت واحد"
Scroll,تمرير
"Number of Items to scroll per click","عدد العناصر التي تمر عند كل نقرة"
"Block Custom Width","عرض الكتلة المخصص"
"If empty, we'll automatically set the width value in pixels.","سوف يتم تعيين قيمة العرض بالبكسل تلقائياً إذا تركت فارغة."
"Catalog Events Carousel Default Template","القالب الافتراضي لكتالوج الأحداث الدائري"
"Category ID","رقم القسم"
"Countdown Ticker","شريط العد التنازلي"
Invitations,دعوات
"Add Invitations","إضافة الدعوات"
"New Invitations","دعوات جديدة"
"Invitations Information","معلومات الدعوات"
"Enter Each Email on New Line","أدخل كل بريد إلكتروني في سطر جديد"
"Invitee Group","محموعة المدعو"
"View Invitation for %1 (ID: %2)","عرض دعوة ل %1 (معرف: %2)"
"Discard Invitation","تجاهل الدعوة"
"Are you sure you want to discard this invitation?","هل أنت متأكد من أنك تريد تجاهل هذه الدعوة؟"
"Save Invitation","حفظ الدعوة"
"Send Invitation","إرسال دعوة"
"Default from System Configuration","افتراضي من ضبط النظام"
"Status History","تاريخ الحالة"
"We can't find this invitation.","لا يمكننا أن نجد هذه الدعوة."
"Please select invitations.","الرجاء تحديد الدعوات."
"We discarded %1 of %2 invitations.","تجاهلنا %1 من %2 دعوات."
"We skipped %1 of the selected invitations.","تخطينا %1 من الدعوات المحددة."
"Something went wrong while sending invitations.","حدث خطأ أثناء إرسال الدعوات."
"Something went wrong while sending %1 invitations.","حدث خطأ أثناء إرسال الدعوات."
"Please specify at least one email address.","الرجاء تحديد عنوان بريد إلكتروني واحد على الأقل."
"We sent %1 invitation(s).","لقد أرسلنا %1 دعوة او دعوات."
"Something went wrong while sending %1 of %2 invitations.","حدث خطأ أثناء إرسال %1 من %2 الدعوات."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 لم ترسل، لأن حسابات العملاء موجودة بالفعل لعناوين البريد الإلكتروني المحددة."
"The invitation has been saved.","لقد تم حفظ الدعوة."
"Invitation Report by Customers","تقرير دعوة من العملاء"
"General Report","التقرير العام"
"Invitations Report","تقرير الدعوات"
"Conversion Rate Report","تقرير معدل التحويل"
"The wrong customer account is specified.","تم تحديد حساب عميل غير صحيح."
"Please enter a correct confirmation key.","الرجاء إدخال مفتاح تأكيد صحيح."
"Bad request.","طلب غير صحيح."
"Your invitation is not valid. Please create an account.","دعوة الخاص بك غير صالحة. الرجاء إنشاء حساب."
"Your invitation is not valid. Please contact us at %1.","الدعوة الخاص بك غير صالحة. يرجى الاتصال بنا على %1."
"We can't save this customer.","لا يمكننا حفظ العميل."
"My Invitations",دعواتي
"You sent the invitation for %1.","لقد ارسلت الدعوة ل %1."
"Something went wrong while sending an email to %1.","حدث خطأ أثناء إرسال رسالة بريد إلكتروني إلى %1."
"Send Invitations","إرسال دعوة"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","الرجاء تصحيح قيمة المتغير \"%1\"، خلاف ذلك سوف نستخدم القيمة المحفوظة بدلاً من ذلك."
"By Invitation Only","بناء على دعوة فقط"
"Available to All","متاح للجميع"
"Please correct the invitation code.","الرجاء تصحيح رمز الدعوة."
"You need to specify a customer ID group.","تحتاج إلى تحديد مجموعة معرف العملاء."
"The wrong store is specified.","المتجر المحدد غير صحيح."
"You can't update this message.","لا يمكنك تحديث هذه الرسالة."
"We can't generate encrypted code.","لا يمكننا إنشاء رمز مشفر."
"We can't find an ID for this invitation.","لا يمكن أن نجد معرفاً لهذه الدعوة."
"You can't send an invitation with status ""%1"".","لا يمكنك إرسال دعوة مع الحالة%1."
"Please enter a valid invitation email.","الرجاء إدخال عنوان بريد الكتروني الدعوة بشكل صحيح."
"We can't identify the proper website.","لا يمكننا تحديد موقع الإنترنت المناسب."
"This invitation is addressed to a current customer: ""%1"".","هذه الدعوة موجهة لعميل حالي: ""%1""."
"This invitation is not valid.","هذه الدعوة غير صالحة."
"Invitation for same email address","دعوة لنفس عنوان البريد الإلكتروني"
Accepted,مقبول
Discarded,"تم التجاهل"
"Signed Up At","سجل في"
Link,الرابط
"Sign Up At","سجل في"
"Invite your friends by entering their email addresses","ارسل دعوة لأصدقائك بإدخال عناوين البريد الإلكتروني الخاص بهم"
"Back to Invitations","العودة إلى الدعوات"
"Discard Rate","معدل التجاهل"
"Accepted and Purchased","المقبولة والتي تم شراؤها"
"Conversion Rate","معدل التحويل"
"Catalog Products List","قائمة المنتجات"
"List of Products","قائمة المنتجات"
"Products Grid Template","قالب الشبكة للمنتجات"
"Delete Orphan Balances","حذف أرصدة يتيمة"
"Customer notified","تم إعلام العميل"
"More information","المزيد من المعلومات"
"Update Balance","تحديث الرصيد"
"You can't use more store credit than the order amount.","لا يمكنك استخدام مبلغ أئتمان أكثر من مبلغ الطلب."
"Your balance is:","الرصيد الخاص بك هو:"
available,مٌتاح
"Store credit","نقاط المتجر"
"Admin Actions Log Archive","أرشيف سجلات الإجراءات الإدارية"
"Log Entry #%1","سجل الدخول #%1"
"Log Entry Details","تفاصيل إدخال السجل"
"Source Data","مصدر البيانات"
"Value Before Change","القيمة قبل التغيير"
"Value After Change","القيمة بعد التغيير"
"No changes","لا يوجد تغييرات"
"The item was deleted","تم حذف العنصر"
"Admin Actions Log","سجل الإجراءات الإدارية"
"Admin Actions Archive","أرشيف الإجراءات الإدارية"
"actions' 'label","إجراءات التسمية"
"%1 & applied","%1 & تم تطبيقها"
"Tax Rates Import","معدلات ضريبة الاستيراد"
"Attributes Updated","تم تحديث السمات"
"Currency Rates Saved","أسعار العملات"
Success,"تم بنجاح"
Failure,فشل
"This user is locked","هذا المستخدم مؤمن"
"Aggregated Information","معلومات مجمعة"
"Admin User ID","معرف المستخدم المسؤول"
IP-Address,"عنوان الـ IP"
"System Configuration","ضبط النظام"
"Transactional Emails","معاملات رسائل البريد الالكتروني"
"Customer Tax Classes","شرائح العميل الضريبية"
"Index Management","إدارة الفهرس"
"Indexer Management","إدارة الفهرس"
"Update by Schedule","تحديث بالجدول الزمني"
"Update on Save","التحديث عند الحفظ"
"Reindex required","يجب إعادة الفهرسة"
Ready,جاهز
Indexer,المفهرس
"Return Html Version","إرجاع إصدار Html"
"Load Template","تحميل قالب"
"Edit Email Template","تعديل قالب البريد الإلكتروني"
"New Email Template","قالب بريد إلكتروني جديد"
"Currently Used For","المستخدم حاليا ل"
Unknown,"غير معروف"
"You deleted the email template.","لقد حذفت قالب البريد الإلكتروني."
"The email template is currently being used.","قالب البريد الإلكتروني مستخدم حاليا."
"We can't delete email template data right now. Please review log and try again.","لا يمكن حذف بيانات قالب البريد الإلكتروني الآن. الرجاء مراجعة السجل وحاول مرة أخرى."
"We can't find an email template to delete.","لا يمكن أن نجد قالب بريد إلكتروني لحذفه."
"Edit System Template","تعديل قالب النظام"
"New System Template","قالب جديد للنظام"
"Email Preview","معاينة البريد الالكتروني"
"An error occurred. The email template can not be opened for preview.","حدث خطأ. لا يمكن فتح قالب البريد الإلكتروني للمعاينة."
"This email template no longer exists.","قالب البريد الإلكتروني هذا لم يعد موجوداً."
"You saved the email template.","يمكنك حفظ قالب البريد الإلكتروني."
"Area is already set","تم بالفعل تعيين المجال"
"Sales Representative Contact Name","اسم ممثل المبيعات"
"Sales Representative Contact Email","عنوان البريد الإلكتروني لممثل المبيعات"
"Street Address 1","عنوان الشارع ١"
"Street Address 2","عنوان الشارع ٢"
"Load default template","تحميل قالب افتراضي"
"Thank you, %store_name","شكرا لك، %store_name"
"We're sorry, an error has occurred while generating this email.","عفواً، حدث خطأ أثناء إنشاء هذا البريد الإلكتروني."
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","السماح لأنواع الملفات: jpg، jpeg، gif، png. لتحسين الشعار للشاشات ذات الدقة العالية، إرفع صورة ذات حجم x3 العادي ثم حدد 1 x أبعاد في عرض/إرتفاع الحقول أدناه."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","فقط ضروريا إذا تم رفع الصورة أعلاه. أدخل عدد وحدات البكسل، دون إلحاق ""البيكسل""."
"Read Details","قراءة التفاصيل"
"Mark as Read","تعيين كمقروء"
"Messages Inbox","رسائل علبة الوارد"
"You have %1 new system messages","لديك %1 من رسائل النظام الجديدة"
"You have %1 new system message","لديك %1 رسالة نظام جديدة"
"Incoming Message","رسالة واردة"
close,إغلاق
Notifications,اشعارات
"The message has been marked as Read.","تم وضع علامة مقروءة على الرسالة."
"We couldn't mark the notification as Read because of an error.","بسبب خطأ ما لم يتم وضع علامة قراءة الاشعار."
"Please select messages.","الرجاء تحديد الرسائل."
"A total of %1 record(s) have been marked as Read.","لقد تم وضع علامة مقروء على %1 من المحفوظات."
"Total of %1 record(s) have been removed.","لقد تم ازالة 1% من المحفوظات."
"We couldn't remove the messages because of an error.","لم يتم ازالة الرسائل بسبب حدوث خطأ."
"The message has been removed.","تم حذف الرسالة."
"1 Hour","ساعة واحدة"
"2 Hours",ساعتان
"6 Hours","6 ساعات"
"12 Hours","12 ساعة"
"24 Hours","24 ساعة"
critical,حرج
major,مهم
minor,ثانوي
notice,إشعار
"Wrong message type","نوع رسالة خاطئ"
"Wrong notification ID specified.","معرف الإشعار المحدد خاطئ."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","لا ينصح باستخدام {{base_url}} في بيئة الإنتاج لتوضيح Unsecure ' 'URL / Base Secure URL. نوصي بشدة بتغيير هذه القيمة في ماجنتو الخاص بك ' '<a href=""%1"">configuration</a>."
"One or more of the Cache Types are invalidated: %1. ","تم ابطال واحد أو أكثر من ""أنواع ذاكرة التخزين المؤقت"": %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","الرجاء الانتقال إلى <a href=""%1""> إدارة ذاكرة التخزين المؤقت</a> واعدة تنشيطها."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","لم نستطع موافقة واحد أو أكثر من ملفات الوسائط. الرجاء الرجوع إلى ملف السجل للحصول على التفاصيل."
"Synchronization of media storages has been completed.","اكتملت مواففة وسائط التخزين."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","قاعدة بيانات الأنترنت الخاصة بك معدة بشكل غير صحيح، وتسمح بدخول غير المصرح به إلى الملفات الحساسة. الرجاء الاتصال بموفر خدمة الاستضافة."
"System Messages:","رسائل النظام:"
"Critical System Messages","رسائل النظام خطيرة"
"Major System Messages","رسائل النظام مهمة"
"System messages","رسائل النظام"
